datetime,amount,,
2019-04-07,1,,
2019-04-09,1,,
2019-04-10,1,,
2019-04-12,1,,
2019-04-19,1,,
2019-04-20,1,,
2019-04-23,3,,
2019-04-24,1,,
2019-04-25,1,,
2019-04-29,1,,
2019-05-04,3,,
2019-05-08,1,,
2019-05-12,1,,
2019-05-15,1,,
2019-05-17,1,,
2019-05-19,2,,
2019-05-20,4,,
2019-05-23,1,,
2019-05-27,1,,
2019-05-30,3,,
2019-06-02,1,,
2019-06-03,3,,
2019-06-05,3,,
2019-06-08,1,,
2019-06-09,2,,
2019-06-12,2,,
2019-06-13,2,,
2019-06-16,3,,
2019-06-17,1,,
2019-06-18,2,,
2019-06-19,1,,
2019-06-21,1,,
2019-06-26,1,,
2019-06-27,1,,
2019-06-28,1,,
2019-07-02,2,,
2019-07-07,3,,
2019-07-08,1,,
2019-07-11,7,,
2019-07-14,1,,
2019-07-19,2,,
2019-07-21,1,,
2019-07-22,5,,
2019-07-23,1,,
2019-07-24,1,,
2019-07-29,1,,
2019-07-30,1,,
2019-08-05,1,,
2019-08-07,3,,
2019-08-08,1,,
2019-08-10,2,,
2019-08-13,2,,
2019-08-15,3,,
2019-08-17,2,,
2019-08-19,3,,
2019-08-20,1,,
2019-08-21,1,,
2019-08-23,2,,
2019-08-24,3,,
2019-08-25,2,,
2019-08-26,1,,
2019-08-27,4,,
2019-08-28,1,,
2019-08-29,2,,
2019-09-02,3,,
2019-09-04,1,,
2019-09-05,5,,
2019-09-06,3,,
2019-09-07,1,,
2019-09-09,3,,
2019-09-11,4,,
2019-09-14,1,,
2019-09-15,2,,
2019-09-16,1,,
2019-09-19,1,,
2019-09-20,1,,
2019-09-21,4,,
2019-09-22,1,,
2019-09-23,2,,
2019-09-26,1,,
2019-09-27,1,,
2019-09-28,2,,
2019-09-29,3,,
2019-09-30,1,,
2019-10-01,1,,
2019-10-02,3,,
2019-10-03,2,,
2019-10-04,1,,
2019-10-06,2,,
2019-10-09,1,,
2019-10-10,1,,
2019-10-11,2,,
2019-10-14,1,,
2019-10-15,1,,
2019-10-16,1,,
2019-10-17,1,,
2019-10-18,1,,
2019-10-20,1,,
2019-10-21,1,,
2019-10-23,2,,
2019-11-03,3,,
2019-11-04,1,,
2019-11-06,1,,
2019-11-07,2,,
2019-11-09,1,,
2019-11-10,1,,
2019-11-11,1,,
2019-11-17,1,,
2019-11-18,2,,
2019-11-24,1,,
2019-11-26,1,,
2019-12-02,1,,
2019-12-04,1,,
2019-12-06,2,,
2019-12-07,1,,
2019-12-08,1,,
2019-12-12,1,,
2019-12-13,1,,
2019-12-15,3,,
2019-12-16,1,,
2019-12-17,1,,
2019-12-28,1,,
2019-12-30,1,,
2019-12-31,1,,
2020-01-13,3,,
2020-01-21,1,,
2020-01-22,1,,
2020-01-25,1,,
2020-01-26,1,,
2020-01-28,1,,
2020-01-30,1,,
2020-02-01,2,,
2020-02-02,1,,
2020-02-08,2,,
2020-02-09,1,,
2020-02-10,1,,
2020-02-12,2,,
2020-02-16,1,,
2020-02-19,1,,
2020-02-23,1,,
2020-02-26,3,,
2020-02-28,1,,
2020-02-29,1,,
2020-03-01,1,,
2020-03-05,3,,
2020-03-06,1,,
2020-03-08,2,,
2020-03-09,3,,
2020-03-10,1,,
2020-03-15,1,,
2020-03-18,1,,
2020-03-22,1,,
2020-03-23,1,,
2020-03-24,1,,
2020-03-25,2,,
2020-03-27,2,,
2020-03-28,5,,
2020-03-29,1,,
2020-04-04,1,,
2020-04-05,1,,
2020-04-06,3,,
2020-04-08,1,,
2020-04-09,1,,
2020-04-10,2,,
2020-04-11,4,,
2020-04-12,3,,
2020-04-13,4,,
2020-04-18,2,,
2020-04-21,3,,
2020-04-22,2,,
2020-04-24,2,,
2020-04-25,3,,
2020-04-26,4,,
2020-04-27,2,,
2020-04-30,5,,
2020-05-01,1,,
2020-05-02,2,,
2020-05-03,3,,
2020-05-04,1,,
2020-05-05,2,,
2020-05-06,1,,
2020-05-10,1,,
2020-05-11,2,,
2020-05-15,2,,
2020-05-16,3,,
2020-05-18,3,,
2020-05-20,1,,
2020-05-22,1,,
2020-05-25,1,,
2020-05-26,2,,
2020-05-27,1,,
2020-05-30,2,,
2020-05-31,1,,
2020-06-01,1,,
2020-06-02,1,,
2020-06-03,4,,
2020-06-04,1,,
2020-06-07,1,,
2020-06-08,1,,
2020-06-13,1,,
2020-06-14,2,,
2020-06-15,1,,
2020-06-23,2,,
2020-06-25,2,,
2020-06-26,1,,
2020-06-27,1,,
2020-06-28,2,,
2020-06-29,2,,
2020-07-01,3,,
2020-07-04,3,,
2020-07-05,1,,
2020-07-06,3,,
2020-07-07,1,,
2020-07-11,2,,
2020-07-12,1,,
2020-07-15,1,,
2020-07-21,1,,
2020-07-26,2,,
2020-07-28,1,,
2020-07-29,1,,
2020-07-30,1,,
2020-07-31,1,,
2020-08-02,3,,
2020-08-03,4,,
2020-08-05,1,,
2020-08-10,1,,
2020-08-11,1,,
2020-08-13,1,,
2020-08-14,1,,
2020-08-15,2,,
2020-08-16,1,,
2020-08-18,2,,
2020-08-24,1,,
2020-08-29,4,,
2020-08-30,1,,
2020-08-31,1,,
2020-09-01,2,,
2020-09-02,3,,
2020-09-03,2,,
2020-09-04,1,,
2020-09-06,2,,
2020-09-07,4,,
2020-09-08,3,,
2020-09-09,1,,
2020-09-10,1,,
2020-09-12,1,,
2020-09-13,2,,
2020-09-14,1,,
2020-09-15,1,,
2020-09-17,1,,
2020-09-20,1,,
2020-09-28,3,,
2020-09-29,1,,
2020-10-05,2,,
2020-10-06,1,,
2020-10-07,3,,
2020-10-08,1,,
2020-10-11,3,,
2020-10-12,5,,
2020-10-13,2,,
2020-10-17,1,,
2020-10-18,1,,
2020-10-24,1,,
2020-10-26,4,,
2020-10-27,2,,
2020-10-28,3,,
2020-10-30,2,,
2020-11-14,1,,
2020-11-15,3,,
2020-11-16,5,,
2020-11-21,2,,
2020-11-22,1,,
2020-11-27,3,,
2020-11-30,1,,
2020-12-02,2,,
2020-12-04,1,,
2020-12-05,1,,
2020-12-06,1,,
2020-12-09,1,,
2020-12-11,1,,
2020-12-17,1,,
2020-12-19,2,,
2020-12-20,1,,
2020-12-25,2,,
2020-12-26,2,,
2020-12-30,1,,
2021-01-03,2,,
